country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017,age_years,annual_generation_mwh,annual_co2_tons,annual_op_cost_rp,annual_op_cost_usd,annual_carbon_cost_usd,annual_total_cost_usd,total_cost_bau_usd,total_cost_pensiun_cepat_usd,total_cost_pensiun_agresif_usd,savings_cepat_usd,savings_agresif_usd,priority_score,co2_per_mw,priority_level
IDN,Indonesia,Amamapare Port power station,WRI1075798,195.0,-4.8278,136.8391,Coal,,,,1998.0,PT Puncakjaya Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1061.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,28.0,1281150.0,1217092.5,1205562150000.0,75347634.375,91281937.5,166629571.875,4998887156.25,2332814006.25,666518287.5,2666073150.0,4332368868.75,4,6241.5,Tinggi
IDN,Indonesia,Amurang power station,WRI1075799,60.0,1.1825,124.4806,Coal,,,,2012.0,PLN,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,326.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,14.0,394200.0,374490.0,370942200000.0,23183887.5,28086750.0,51270637.5,1538119125.0,717788925.0,205082550.0,820330200.0,1333036575.0,3,6241.5,Sedang
IDN,Indonesia,Banten Serang power station,WRI1075800,660.0,-5.883,106.0459,Coal,,,,2017.0,PT Lestari Baten Energi (LBE),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3591.7,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,9.0,4336200.0,4119390.0,4080364200000.0,255022762.5,308954250.0,563977012.5,16919310375.0,7895678175.0,2255908050.0,9023632200.0,14663402325.0,0,6241.5,Rendah
IDN,Indonesia,Batu Hijau power station,WRI1075801,124.0,-8.9012,116.7382,Coal,,,,1999.0,Pt Newmont Nusa Tenggara,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,674.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,27.0,814680.0,773946.0,766613880000.0,47913367.5,58045950.0,105959317.5,3178779525.0,1483430445.0,423837270.0,1695349080.0,2754942255.0,4,6241.5,Tinggi
IDN,Indonesia,Celukan Bawang power station,WRI1075802,381.0,-8.1963,114.8516,Coal,,,,2015.0,PT General Energy Bali,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,2073.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,11.0,2503170.0,2378011.5,2355482970000.0,147217685.625,178350862.5,325568548.125,9767056443.75,4557959673.75,1302274192.5,5209096770.0,8464782251.25,1,6241.5,Rendah
IDN,Indonesia,Cikarang Babelan power station,WRI1075803,280.0,-6.1161,107.052,Coal,,,,2017.0,PT Cikarang Listrindo,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1523.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,9.0,1839600.0,1747620.0,1731063600000.0,108191475.0,131071500.0,239262975.0,7177889250.0,3349681650.0,957051900.0,3828207600.0,6220837350.0,2,6241.5,Sedang
IDN,Indonesia,Cilacap Sumber power station,WRI1075804,1260.0,-7.6832,109.0964,Coal,,,,2011.0,Sumber Segara Primadaya,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,6856.89,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,15.0,8278200.0,7864290.0,7789786200000.0,486861637.5,589821750.0,1076683387.5,32300501625.0,15073567425.0,4306733550.0,17226934200.0,27993768075.0,0,6241.5,Rendah
IDN,Indonesia,Kalteng-1 Pulang Pisau power station,WRI1075805,120.0,-2.8226,114.2088,Coal,,,,2015.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,653.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,11.0,788400.0,748980.0,741884400000.0,46367775.0,56173500.0,102541275.0,3076238250.0,1435577850.0,410165100.0,1640660400.0,2666073150.0,2,6241.5,Sedang
IDN,Indonesia,Kaltim Teluk Balikpapan power station,WRI1075806,220.0,-1.1704,116.7887,Coal,,,,2015.0,PLN,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1197.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,11.0,1445400.0,1373130.0,1360121400000.0,85007587.5,102984750.0,187992337.5,5639770125.0,2631892725.0,751969350.0,3007877400.0,4887800775.0,2,6241.5,Sedang
IDN,Indonesia,Keban Agung power station,WRI1075807,270.0,-3.7515,103.6481,Coal,,,,2015.0,PT Primanaya Energi,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1469.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,11.0,1773900.0,1685205.0,1669239900000.0,104327493.75,126390375.0,230717868.75,6921536062.5,3230050162.5,922871475.0,3691485900.0,5998664587.5,2,6241.5,Sedang
IDN,Indonesia,Ketapang Smelter power station,WRI1075808,80.0,-2.3662,110.1573,Coal,,,,2016.0,PT Well Harvest Winning Alumina Refinery,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,435.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,10.0,525600.0,499320.0,494589600000.0,30911850.0,37449000.0,68360850.0,2050825500.0,957051900.0,273443400.0,1093773600.0,1777382100.0,3,6241.5,Sedang
IDN,Indonesia,Lampung Sebalang power station,WRI1075809,200.0,-5.5859,105.3872,Coal,,,,2015.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,11.0,1314000.0,1248300.0,1236474000000.0,77279625.0,93622500.0,170902125.0,5127063750.0,2392629750.0,683608500.0,2734434000.0,4443455250.0,2,6241.5,Sedang
IDN,Indonesia,Medan Steel Mill Power Plant,WRI1075810,60.0,3.6676,98.6654,Coal,,,,2017.0,PT Gahapi Nisco Steel,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,326.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,9.0,394200.0,374490.0,370942200000.0,23183887.5,28086750.0,51270637.5,1538119125.0,717788925.0,205082550.0,820330200.0,1333036575.0,3,6241.5,Sedang
IDN,Indonesia,Merak power station,WRI1075811,120.0,-5.884,106.0642,Coal,,,,2014.0,PT Merak Energi,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,653.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,12.0,788400.0,748980.0,741884400000.0,46367775.0,56173500.0,102541275.0,3076238250.0,1435577850.0,410165100.0,1640660400.0,2666073150.0,2,6241.5,Sedang
IDN,Indonesia,PLTU - Palu - Mpanau - Tawaeli,WRI1000906,30.0,-0.8917,119.8707,Coal,,,,,PT. Pusaka Jaya Palu Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,163.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,25.0,197100.0,187245.0,185471100000.0,11591943.75,14043375.0,25635318.75,769059562.5,358894462.5,102541275.0,410165100.0,666518287.5,5,6241.5,Tinggi
IDN,Indonesia,PLTU -Jeneponto I & II,WRI1000907,250.0,-5.6184,119.5506,Coal,,,,,PT Bosowa Energy,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,1360.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,25.0,1642500.0,1560375.0,1545592500000.0,96599531.25,117028125.0,213627656.25,6408829687.5,2990787187.5,854510625.0,3418042500.0,5554319062.5,4,6241.5,Tinggi
IDN,Indonesia,PLTU Asam-asam 1 & 2,WRI1000910,260.0,-3.9253,115.1043,Coal,,,,,PLN - South Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,1414.91,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,25.0,1708200.0,1622790.0,1607416200000.0,100463512.5,121709250.0,222172762.5,6665182875.0,3110418675.0,888691050.0,3554764200.0,5776491825.0,4,6241.5,Tinggi
